Data as of,Start Date,End Date,State,County Name,Urban Rural Code,FIPS State,FIPS County,FIPS Code,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other,Urban Rural Description,Footnote
11/09/2022,01/01/2020,11/05/2022,AK,Anchorage Municipality,3,2,20,2020,Distribution of all-cause deaths (%),7203,739,0.569,0.045,0.215,0.059,0.033,0.031,0.049,Medium metro,
11/09/2022,01/01/2020,11/05/2022,AK,Anchorage Municipality,3,2,20,2020,Distribution of COVID-19 deaths (%),7203,739,0.442,0.037,0.256,0.115,0.078,0.039,0.032,Medium metro,
11/09/2022,01/01/2020,11/05/2022,AK,Anchorage Municipality,3,2,20,2020,Distribution of population (%),7203,739,0.564,0.052,0.083,0.098,0.031,0.095,0.077,Medium metro,
11/09/2022,01/01/2020,11/05/2022,AK,Fairbanks North Star Borough,4,2,90,2090,Distribution of all-cause deaths (%),1723,190,0.702,0.026,0.18,0.02,,0.025,0.045,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AK,Fairbanks North Star Borough,4,2,90,2090,Distribution of COVID-19 deaths (%),1723,190,0.605,,0.268,,,,0.063,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AK,Fairbanks North Star Borough,4,2,90,2090,Distribution of population (%),1723,190,0.691,0.047,0.077,0.033,0.005,0.081,0.066,Small metro,
11/09/2022,01/01/2020,11/05/2022,AK,Matanuska-Susitna Borough,3,2,170,2170,Distribution of all-cause deaths (%),2146,238,0.849,0.009,0.082,0.012,,0.019,0.026,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AK,Matanuska-Susitna Borough,3,2,170,2170,Distribution of COVID-19 deaths (%),2146,238,0.824,,0.084,,,0.046,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AK,Matanuska-Susitna Borough,3,2,170,2170,Distribution of population (%),2146,238,0.78,0.012,0.064,0.016,0.004,0.055,0.068,Medium metro,
11/09/2022,01/01/2020,11/05/2022,AL,Autauga County,3,1,1,1001,Distribution of all-cause deaths (%),1519,186,0.817,0.17,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Autauga County,3,1,1,1001,Distribution of COVID-19 deaths (%),1519,186,0.753,0.226,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Autauga County,3,1,1,1001,Distribution of population (%),1519,186,0.732,0.203,0.004,0.011,0.001,0.031,0.018,Medium metro,
11/09/2022,01/01/2020,11/05/2022,AL,Baldwin County,4,1,3,1003,Distribution of all-cause deaths (%),6975,626,0.909,0.073,0.002,0.003,,0.011,0.001,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Baldwin County,4,1,3,1003,Distribution of COVID-19 deaths (%),6975,626,0.88,0.088,,,,0.024,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Baldwin County,4,1,3,1003,Distribution of population (%),6975,626,0.833,0.085,0.007,0.011,0,0.046,0.018,Small metro,
11/09/2022,01/01/2020,11/05/2022,AL,Blount County,2,1,9,1009,Distribution of all-cause deaths (%),1496,101,0.979,0.01,,,,0.009,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Blount County,2,1,9,1009,Distribution of COVID-19 deaths (%),1496,101,0.931,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Blount County,2,1,9,1009,Distribution of population (%),1496,101,0.868,0.015,0.005,0.004,0,0.095,0.013,Large fringe metro,
11/09/2022,01/01/2020,11/05/2022,AL,Calhoun County,4,1,15,1015,Distribution of all-cause deaths (%),4822,625,0.818,0.166,,0.004,,0.009,0.002,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Calhoun County,4,1,15,1015,Distribution of COVID-19 deaths (%),4822,625,0.805,0.173,,,,0.018,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Calhoun County,4,1,15,1015,Distribution of population (%),4822,625,0.714,0.212,0.004,0.008,0.001,0.041,0.02,Small metro,
11/09/2022,01/01/2020,11/05/2022,AL,Coffee County,5,1,31,1031,Distribution of all-cause deaths (%),1553,191,0.792,0.17,,0.01,,0.024,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Coffee County,5,1,31,1031,Distribution of COVID-19 deaths (%),1553,191,0.806,0.147,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Coffee County,5,1,31,1031,Distribution of population (%),1553,191,0.691,0.17,0.011,0.016,0.002,0.083,0.028,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,AL,Colbert County,4,1,33,1033,Distribution of all-cause deaths (%),2187,325,0.834,0.154,,,,0.01,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Colbert County,4,1,33,1033,Distribution of COVID-19 deaths (%),2187,325,0.834,0.126,,,,0.037,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Colbert County,4,1,33,1033,Distribution of population (%),2187,325,0.776,0.16,0.006,0.007,0.001,0.032,0.019,Small metro,
11/09/2022,01/01/2020,11/05/2022,AL,Covington County,6,1,39,1039,Distribution of all-cause deaths (%),1696,242,0.879,0.116,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Covington County,6,1,39,1039,Distribution of COVID-19 deaths (%),1696,242,0.86,0.136,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Covington County,6,1,39,1039,Distribution of population (%),1696,242,0.829,0.125,0.006,0.005,0,0.019,0.016,Noncore,
11/09/2022,01/01/2020,11/05/2022,AL,Cullman County,5,1,43,1043,Distribution of all-cause deaths (%),3362,396,0.979,0.009,,,,0.008,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Cullman County,5,1,43,1043,Distribution of COVID-19 deaths (%),3362,396,0.962,,,,,0.03,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Cullman County,5,1,43,1043,Distribution of population (%),3362,396,0.917,0.013,0.006,0.006,0.001,0.045,0.013,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,AL,Dale County,5,1,45,1045,Distribution of all-cause deaths (%),1318,141,0.803,0.175,,,,0.014,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Dale County,5,1,45,1045,Distribution of COVID-19 deaths (%),1318,141,0.78,0.191,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Dale County,5,1,45,1045,Distribution of population (%),1318,141,0.68,0.204,0.007,0.014,0.001,0.069,0.024,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,AL,Dallas County,5,1,47,1047,Distribution of all-cause deaths (%),1473,201,0.355,0.638,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Dallas County,5,1,47,1047,Distribution of COVID-19 deaths (%),1473,201,0.308,0.687,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Dallas County,5,1,47,1047,Distribution of population (%),1473,201,0.267,0.704,0.002,0.005,0,0.012,0.009,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,AL,DeKalb County,6,1,49,1049,Distribution of all-cause deaths (%),2234,204,0.963,0.017,,,,0.017,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,DeKalb County,6,1,49,1049,Distribution of COVID-19 deaths (%),2234,204,0.946,,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,DeKalb County,6,1,49,1049,Distribution of population (%),2234,204,0.796,0.014,0.012,0.004,0.001,0.153,0.021,Noncore,
11/09/2022,01/01/2020,11/05/2022,AL,Escambia County,6,1,53,1053,Distribution of all-cause deaths (%),1264,154,0.679,0.275,0.036,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Escambia County,6,1,53,1053,Distribution of COVID-19 deaths (%),1264,154,0.617,0.331,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Escambia County,6,1,53,1053,Distribution of population (%),1264,154,0.601,0.312,0.037,0.003,0.001,0.026,0.021,Noncore,
11/09/2022,01/01/2020,11/05/2022,AL,Etowah County,4,1,55,1055,Distribution of all-cause deaths (%),5080,740,0.858,0.13,,0.003,,0.007,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Etowah County,4,1,55,1055,Distribution of COVID-19 deaths (%),5080,740,0.864,0.126,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Etowah County,4,1,55,1055,Distribution of population (%),5080,740,0.771,0.156,0.004,0.008,0,0.043,0.016,Small metro,
11/09/2022,01/01/2020,11/05/2022,AL,Houston County,4,1,69,1069,Distribution of all-cause deaths (%),6275,1034,0.735,0.245,,0.004,,0.01,0.005,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Houston County,4,1,69,1069,Distribution of COVID-19 deaths (%),6275,1034,0.704,0.276,,,,0.013,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Houston County,4,1,69,1069,Distribution of population (%),6275,1034,0.656,0.274,0.004,0.011,0.001,0.035,0.02,Small metro,
11/09/2022,01/01/2020,11/05/2022,AL,Jackson County,5,1,71,1071,Distribution of all-cause deaths (%),1938,157,0.963,0.028,,,,0.008,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Jackson County,5,1,71,1071,Distribution of COVID-19 deaths (%),1938,157,0.981,,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Jackson County,5,1,71,1071,Distribution of population (%),1938,157,0.891,0.033,0.014,0.005,0.001,0.031,0.027,Micropolitan,
11/09/2022,01/01/2020,11/05/2022,AL,Jefferson County,1,1,73,1073,Distribution of all-cause deaths (%),32466,3807,0.624,0.356,0.001,0.005,,0.012,0.003,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Jefferson County,1,1,73,1073,Distribution of COVID-19 deaths (%),32466,3807,0.631,0.338,,0.005,,0.022,0.003,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Jefferson County,1,1,73,1073,Distribution of population (%),32466,3807,0.492,0.434,0.002,0.018,0,0.041,0.013,Large central metro,
11/09/2022,01/01/2020,11/05/2022,AL,Lauderdale County,4,1,77,1077,Distribution of all-cause deaths (%),4426,495,0.9,0.091,,,,0.006,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Lauderdale County,4,1,77,1077,Distribution of COVID-19 deaths (%),4426,495,0.859,0.121,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Lauderdale County,4,1,77,1077,Distribution of population (%),4426,495,0.843,0.098,0.004,0.008,0,0.03,0.016,Small metro,
11/09/2022,01/01/2020,11/05/2022,AL,Lee County,4,1,81,1081,Distribution of all-cause deaths (%),3997,564,0.689,0.298,,0.006,,0.005,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Lee County,4,1,81,1081,Distribution of COVID-19 deaths (%),3997,564,0.606,0.369,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Lee County,4,1,81,1081,Distribution of population (%),3997,564,0.676,0.226,0.003,0.041,0.001,0.038,0.016,Small metro,
11/09/2022,01/01/2020,11/05/2022,AL,Limestone County,3,1,83,1083,Distribution of all-cause deaths (%),2515,237,0.881,0.097,,,,0.014,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Limestone County,3,1,83,1083,Distribution of COVID-19 deaths (%),2515,237,0.886,0.089,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Limestone County,3,1,83,1083,Distribution of population (%),2515,237,0.757,0.136,0.006,0.017,0.001,0.062,0.021,Medium metro,
11/09/2022,01/01/2020,11/05/2022,AL,Madison County,3,1,89,1089,Distribution of all-cause deaths (%),13358,1427,0.789,0.182,0.001,0.01,,0.015,0.003,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Madison County,3,1,89,1089,Distribution of COVID-19 deaths (%),13358,1427,0.772,0.187,,0.008,,0.028,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Madison County,3,1,89,1089,Distribution of population (%),13358,1427,0.644,0.244,0.007,0.026,0.001,0.052,0.026,Medium metro,
11/09/2022,01/01/2020,11/05/2022,AL,Marengo County,6,1,91,1091,Distribution of all-cause deaths (%),788,122,0.438,0.551,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Marengo County,6,1,91,1091,Distribution of COVID-19 deaths (%),788,122,0.361,0.623,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/09/2022,01/01/2020,11/05/2022,AL,Marengo County,6,1,91,1091,Distribution of population (%),788,122,0.443,0.514,0.002,0.003,0,0.028,0.01,Noncore,
